#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	conn
#open	2026-03-09-11-09-03
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	proto	service	duration	orig_bytes	resp_bytes	conn_state	local_orig	local_resp	missed_bytes	history	orig_pkts	orig_ip_bytes	resp_pkts	resp_ip_bytes	tunnel_parents	ip_proto
#types	time	string	addr	port	addr	port	enum	string	interval	count	count	string	bool	bool	count	string	count	count	count	count	set[string]	count
1773054559.099235	Crt3ICXjt5aEa3gD2	192.168.159.130	40716	151.101.209.91	443	tcp	-	0.278001	0	4559	RSTO	T	F	0	^hCadCfR	1	40	12	5043	-	6
1773054559.099234	CTj6EN21EFHjFJ3jwb	192.168.159.130	40724	151.101.209.91	443	tcp	-	0.284446	0	4559	RSTO	T	F	0	^hCadCfR	1	40	12	5043	-	6
1773054559.099233	CbNHcC447m9E6pLKld	192.168.159.130	40740	151.101.209.91	443	tcp	-	0.284539	0	4559	RSTO	T	F	0	^hCadCfR	1	40	12	5043	-	6
1773054554.797218	Cz95Wg2Q7ftUOMO3Sd	192.168.159.130	37742	192.168.159.2	53	udp	dns	0.235626	0	61	SHR	T	T	0	Cd	0	0	1	89	-	17
1773054554.798692	C2tTar4fya48zNdDok	192.168.159.130	55762	192.168.159.2	53	udp	dns	0.234143	0	81	SHR	T	T	0	Cd	0	0	1	109	-	17
1773054554.801031	C4UaAk3aEu9ZYA0057	192.168.159.130	56908	192.168.159.2	53	udp	dns	0.231819	0	151	SHR	T	T	0	Cd	0	0	2	207	-	17
1773054554.801730	Cic93f3MkuWoyUSaxh	192.168.159.130	51677	192.168.159.2	53	udp	dns	0.231121	0	118	SHR	T	T	0	Cd	0	0	2	174	-	17
1773054567.403104	Ccl5AC144C6KQpOqba	192.168.159.130	32978	34.49.51.44	443	tcp	-	-	-	-	OTH	T	F	0	C	0	0	0	0	-	6
1773054567.485395	C59JFY2anpYKz795Xi	192.168.159.130	41160	151.101.193.91	443	tcp	-	-	-	-	OTH	T	F	0	C	0	0	0	0	-	6
1773054567.908102	CRSoZOHJQjlMa5sAb	192.168.159.130	46962	151.101.209.91	443	tcp	-	-	-	-	OTH	T	F	0	C	0	0	0	0	-	6
1773054567.895479	CWyx521TKo2ii6spVk	192.168.159.130	57712	34.160.90.233	443	tcp	-	-	-	-	OTH	T	F	0	C	0	0	0	0	-	6
1773054567.896043	CPd2Gk3wskgTM10mm3	192.168.159.130	57726	34.160.90.233	443	tcp	-	-	-	-	OTH	T	F	0	C	0	0	0	0	-	6
1773054567.970939	Clt8mf2Z92AAQRMmb	192.168.159.130	46970	151.101.209.91	443	tcp	-	-	-	-	OTH	T	F	0	C	0	0	0	0	-	6
1773054558.790636	CBesYs4ZJmDFqsLu29	192.168.159.130	40783	192.168.159.2	53	udp	dns	0.207841	0	153	SHR	T	T	0	Cd	0	0	1	181	-	17
1773054558.794532	CRSNUH1TtaPb3B04x6	192.168.159.130	55959	192.168.159.2	53	udp	dns	0.203948	0	318	SHR	T	T	0	Cd	0	0	2	374	-	17
1773054558.805527	C6SVoO3qwsbYJMbIw9	192.168.159.130	51755	192.168.159.2	53	udp	dns	0.192954	0	156	SHR	T	T	0	Cd	0	0	1	184	-	17
1773054558.806382	C1SEGBM1zq6Td9w5h	192.168.159.130	37348	192.168.159.2	53	udp	dns	0.192102	0	378	SHR	T	T	0	Cd	0	0	2	434	-	17
1773054567.933442	Cl2TBd3adGm0aW2Fbe	192.168.159.130	57726	34.160.90.233	443	tcp	-	0.185140	0	3947	RSTO	T	F	0	^hCadR	1	40	11	4391	-	6
1773054567.335483	CRQtVk2XZC2SxUKRb3	192.168.159.130	43430	192.168.159.2	53	udp	dns	0.063064	0	333	SHR	T	T	0	Cd	0	0	2	389	-	17
1773054567.381699	CfXu8q36urKR3IqqWk	192.168.159.130	54633	192.168.159.2	53	udp	dns	0.099021	0	403	SHR	T	T	0	Cd	0	0	2	459	-	17
1773054567.856542	CegF211W1pBUHIWzL	192.168.159.130	42337	192.168.159.2	53	udp	dns	0.036756	0	148	SHR	T	T	0	Cd	0	0	2	204	-	17
1773054567.858724	CD1lSd3TbWg99OMPw5	192.168.159.130	43913	192.168.159.2	53	udp	dns	0.043563	0	368	SHR	T	T	0	Cd	0	0	2	424	-	17
1773054567.861059	CYfuFd3CsjddVLlSa7	192.168.159.130	33187	192.168.159.2	53	udp	dns	0.050135	0	328	SHR	T	T	0	Cd	0	0	2	384	-	17
