#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	weird
#open	2026-02-25-12-18-48
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	name	addl	notice	peer	source
#types	time	string	addr	port	addr	port	string	string	bool	string	string
1772022483.425106	Ca8FNM2ZDo3OnPvkM5	192.168.159.130	47760	104.26.8.239	443	active_connection_reuse	-	F	zeek	TCP
1772022483.425107	CC6tNg1ltg1iMkqiKc	192.168.159.130	47832	104.26.8.239	443	active_connection_reuse	-	F	zeek	TCP
1772022483.425107	CTUnrC4KOhQd3xyxg7	192.168.159.130	47862	104.26.8.239	443	active_connection_reuse	-	F	zeek	TCP
1772022483.425108	CGxGv53hEIsoBWLky4	192.168.159.130	47758	104.26.8.239	443	active_connection_reuse	-	F	zeek	TCP
1772022483.425108	CrpRPB1jUwjAFkCJM6	192.168.159.130	47772	104.26.8.239	443	active_connection_reuse	-	F	zeek	TCP
1772022483.425109	CmLZvE2OshoB8qveM8	192.168.159.130	45296	142.250.66.8	443	active_connection_reuse	-	F	zeek	TCP
1772022483.425302	Cx7fvd2WheCLXaG75j	192.168.159.130	45284	142.250.66.8	443	active_connection_reuse	-	F	zeek	TCP
1772022484.240013	CeW48X1Ovh7cMUiIh3	192.168.159.130	43096	142.250.77.131	80	active_connection_reuse	-	F	zeek	TCP
1772022484.240018	CPz0jq3mUlHPNwOrLi	192.168.159.130	43100	142.250.77.131	80	active_connection_reuse	-	F	zeek	TCP
1772022484.344775	CVrfh629PdAXKdduci	192.168.159.130	47544	18.155.33.74	443	active_connection_reuse	-	F	zeek	TCP
1772022484.761825	CuhAFQSG8KUuqKRTb	192.168.159.130	57324	23.53.128.229	80	active_connection_reuse	-	F	zeek	TCP
1772022488.375030	Cd5jJH6ISpUYsJ24k	192.168.159.130	46906	142.250.183.163	443	active_connection_reuse	-	F	zeek	TCP
1772022488.375030	CzEjMa2VpfGDzNJUmh	192.168.159.130	44318	142.250.66.8	443	active_connection_reuse	-	F	zeek	TCP
1772022488.381912	C1OI6M3lDN1SGPdzAl	192.168.159.130	44320	142.250.66.8	443	active_connection_reuse	-	F	zeek	TCP
1772022488.416072	CDNqE17HCk6NXaLK4	192.168.159.130	46916	142.250.183.163	443	active_connection_reuse	-	F	zeek	TCP
1772022488.426969	CRl6tK4ru6jzSQ3Wh	192.168.159.130	34180	104.18.29.104	443	active_connection_reuse	-	F	zeek	TCP
1772022488.474926	CjykVN2icP8LO3s2m6	192.168.159.130	36464	18.155.33.74	443	active_connection_reuse	-	F	zeek	TCP
1772022488.488971	ClLMVy44QISVehHkZ7	192.168.159.130	44336	142.250.66.8	443	active_connection_reuse	-	F	zeek	TCP
1772022488.494019	C9T1Yf3t95a4m005Vc	192.168.159.130	56792	172.67.71.214	443	active_connection_reuse	-	F	zeek	TCP
1772022488.660629	Cl1J4u22F7RHTWePP7	192.168.159.130	37192	16.15.207.143	443	active_connection_reuse	-	F	zeek	TCP
1772022488.745360	CFo6kK7xEo9Ag4OCh	192.168.159.130	37204	16.15.207.143	443	active_connection_reuse	-	F	zeek	TCP
1772022488.958433	CadTS7z379nqlqFW8	192.168.159.130	52240	192.178.211.156	443	active_connection_reuse	-	F	zeek	TCP
