#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	ntp
#open	2026-03-09-11-08-43
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	version	mode	stratum	poll	precision	root_delay	root_disp	ref_id	ref_time	org_time	rec_time	xmt_time	num_exts
#types	time	string	addr	port	addr	port	count	count	count	interval	interval	interval	interval	string	time	time	time	time	count
1773054523.219111	CjIwCjYPgJv7AhVS7	192.168.159.130	35192	172.236.180.15	123	4	4	4	1.000000	0.000000	0.056366	0.012375	40.81.94.65	1773054273.420882	-1390510641.951719	1773054523.130645	1773054523.130782	0
1773054587.427510	CEmZZBooN2GXwJZXe	192.168.159.130	38360	172.236.180.15	123	4	4	4	1.000000	0.000000	0.056366	0.012436	40.81.94.65	1773054273.420882	1347684877.576418	1773054587.686012	1773054587.686143	0
1773054619.689759	CgkxEb384ErMWKov13	192.168.159.130	32944	172.236.180.15	123	4	4	4	1.000000	0.000000	0.056366	0.012466	40.81.94.65	1773054273.420882	-1339059383.531448	1773054619.685906	1773054619.685941	0
1773054683.879537	CGUCzu1xF9s5rr1WDk	192.168.159.130	37014	172.236.180.15	123	4	4	4	1.000000	0.000000	0.056366	0.012543	40.81.94.65	1773054273.420882	1362360111.600335	1773054684.010813	1773054684.010861	0
1773054748.159999	CNcKPB4PQ5csdBveu9	192.168.159.130	60852	172.236.180.15	123	4	4	4	1.000000	0.000000	0.056366	0.012604	40.81.94.65	1773054273.420882	-2051353111.362875	1773054748.326104	1773054748.326217	0
1773054780.481093	CWdHhr2B5pRDjpQwK1	192.168.159.130	46423	172.236.180.15	123	4	4	4	1.000000	0.000000	0.056366	0.012634	40.81.94.65	1773054273.420882	-649394443.370249	1773054780.486223	1773054780.486247	0
1773054812.743254	CU1Evp22SUSkJp0NV2	192.168.159.130	47416	172.236.180.15	123	4	4	4	1.000000	0.000000	0.056366	0.012665	40.81.94.65	1773054273.420882	-2020458062.106593	1773054812.806022	1773054812.806075	0
1773054844.876710	CIWSSO2KU49Exxrcr1	192.168.159.130	49958	172.236.180.15	123	4	4	4	1.000000	0.000000	0.056366	0.012711	40.81.94.65	1773054273.420882	-2075677388.194139	1773054845.096510	1773054845.096529	0
1773054877.126532	CbpjzD1vlC6qQh47u1	192.168.159.130	40467	172.236.180.15	123	4	4	4	1.000000	0.000000	0.056366	0.012741	40.81.94.65	1773054273.420882	-810693371.809936	1773054877.171719	1773054877.172134	0
1773054909.414593	ChGGlN3Q1NC3kWnZE	192.168.159.130	33621	172.236.180.15	123	4	4	4	1.000000	0.000000	0.056366	0.012772	40.81.94.65	1773054273.420882	-557172493.986435	1773054909.496520	1773054909.496557	0
1773054941.629751	CKxlo03LOx061V8zyh	192.168.159.130	44843	172.236.180.15	123	4	4	4	1.000000	0.000000	0.056366	0.012802	40.81.94.65	1773054273.420882	239627412.365854	1773054941.690814	1773054941.690866	0
1773054973.895952	CJotm42j6W6FmMsbIh	192.168.159.130	55856	172.236.180.15	123	4	4	4	1.000000	0.000000	0.056366	0.012833	40.81.94.65	1773054273.420882	875010462.949217	1773054973.966114	1773054973.966139	0
1773055006.245740	CrzwdR1hW8KgzCWnX4	192.168.159.130	40225	172.236.180.15	123	4	4	4	1.000000	0.000000	0.056366	0.012878	40.81.94.65	1773054273.420882	-898212288.685971	1773055006.201209	1773055006.201242	0
1773055070.531954	CrEuVZ3buvzUEYylYh	192.168.159.130	39981	172.236.180.15	123	4	4	4	1.000000	0.000000	0.056366	0.012939	40.81.94.65	1773054273.420882	1479710092.283957	1773055070.611566	1773055070.611655	0
1773055102.651977	CdQePyfzIbeW8Waf8	192.168.159.130	36165	172.236.180.15	123	4	4	4	1.000000	0.000000	0.056366	0.012970	40.81.94.65	1773054273.420882	-1007223507.624908	1773055102.911360	1773055102.911379	0
