#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	ntp
#open	2026-02-25-12-18-53
#fields	ts	uid	id.orig_h	id.orig_p	id.resp_h	id.resp_p	version	mode	stratum	poll	precision	root_delay	root_disp	ref_id	ref_time	org_time	rec_time	xmt_time	num_exts
#types	time	string	addr	port	addr	port	count	count	count	interval	interval	interval	interval	string	time	time	time	time	count
1772021933.935129	C8mGX04WBeNUNZvUwj	192.168.159.130	50897	95.216.192.15	123	4	4	2	4.000000	0.000000	0.006912	0.000137	194.58.200.20	1772021867.877534	-1616706405.943693	1772021933.552018	1772021933.552058	0
1772021966.433733	CiJEAU1m0SMoDpGZ34	192.168.159.130	51834	95.216.192.15	123	4	4	2	4.000000	0.000000	0.006912	0.000168	194.58.200.20	1772021867.877534	-268709775.535907	1772021966.177358	1772021966.177409	0
1772022030.924946	CH99Ps30FJ9xL7Uxi5	192.168.159.130	56466	95.216.192.15	123	4	4	2	4.000000	0.000000	0.006912	0.000244	194.58.200.20	1772021867.877534	-1472475506.987575	1772022030.582491	1772022030.582526	0
1772022095.506676	C46gWw2oyUlmPAvpG	192.168.159.130	60079	95.216.192.15	123	4	4	2	4.000000	0.000000	0.006912	0.000305	194.58.200.20	1772021867.877534	1331223580.232269	1772022095.160058	1772022095.160107	0
1772022159.936615	CIKatr3NoJoIDyWhsc	192.168.159.130	37811	95.216.192.15	123	4	4	2	4.000000	0.000000	0.006912	0.000381	194.58.200.20	1772021867.877534	-392385424.861758	1772022159.629394	1772022159.629508	0
1772022224.366322	CBC5uA3nfOwrUpxR2c	192.168.159.130	39470	95.216.192.15	123	4	4	2	4.000000	0.000000	0.006912	0.000458	194.58.200.20	1772021867.877534	-297095697.329237	1772022224.062977	1772022224.063028	0
1772022288.941206	C5HSMZ1XBTTTt8tEll	192.168.159.130	56730	95.216.192.15	123	4	4	2	4.000000	0.000000	0.006912	0.000519	194.58.200.20	1772021867.877534	-1673051869.465246	1772022288.601080	1772022288.601142	0
1772022353.473794	CdTt3J3mPXW7jdsdyf	192.168.159.130	44733	95.216.192.15	123	4	4	2	4.000000	0.000000	0.006912	0.000595	194.58.200.20	1772021867.877534	-2044956309.769393	1772022353.147704	1772022353.147761	0
1772022418.022722	C4cLfR3sdqSTDNBrO1	192.168.159.130	43341	95.216.192.15	123	4	4	2	4.000000	0.000000	0.006821	0.000183	194.58.200.20	1772022387.132691	-898414371.536008	1772022417.631168	1772022417.631221	0
1772022482.711107	C7TyQD18PpfbkWmgm4	192.168.159.130	46666	95.216.192.15	123	4	4	2	4.000000	0.000000	0.006821	0.000244	194.58.200.20	1772022387.132691	-895483594.843883	1772022482.348951	1772022482.348993	0
